ID,ACCESSION,NAME,TAXONOMY,ORIGIN,AMYLOSE,KERNEL LENGTH/WIDTH RATIO,LENGTH OF KERNEL,SALT TOLERANCE,WIDTH OF KERNEL,LEAF BLADE COLOR,PLANT HEIGHT 1
1000321,CIor 8,Ostiglia,Oryza sativa L.,Italy,28,2.3,6.2,0,2.6,0,0
1001657,CIor 51,Carangiang,Oryza sativa L.,"Eastern Visayas (Region VIII), Philippines",24,3.3,7,0,2.1,0,0
1004199,CIor 193,Bondoc,Oryza sativa L.,"Panay, Philippines",19,3.3,6.9,0,2.1,0,0
1004744,CIor 250,Catibos,Oryza sativa L.,"Western Visayas (Region VI), Philippines",0,3.2,7.5,0,2.3,0,0
1006516,CIor 461,Asse y Pung,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",17,3.3,6.8,0,2,0,0
1007814,CIor 654,Malagquit Minantika,Oryza sativa L.,"Bicol (Region V), Philippines",0,2.5,6.6,0,2.5,0,0
1011823,CIor 1160,Gpno 967,Oryza sativa L.,Guatemala,16,2.4,6,0,2.5,0,0
1011837,CIor 1162,'Evangeline',Oryza sativa L.,"Louisiana, United States",23,2.8,7,0.5,2.5,0,0
1012146,CIor 1206,'Delitus',Oryza sativa L.,"Louisiana, United States",25,3.3,7.3,0,2.2,0,0
1012762,CIor 1297,'Salvo',Oryza sativa L.,"Louisiana, United States",25,3,7.2,0,2.4,0,0
1013133,CIor 1344,'Fortuna',Oryza sativa L.,"Louisiana, United States",21,3.2,8,0,2.5,0,0
1014232,CIor 1496,Wanica,Oryza sativa L.,Suriname,20,3,6.9,0,2.3,0,0
1014687,CIor 1561,Wataribune,Oryza sativa L.,Japan,17,1.8,5.5,0,3,0,0
1014706,CIor 1564,'Butte',Oryza sativa L.,"Louisiana, United States",20,1.8,5.5,0.1,3,0,0
1014978,CIor 1600,'Colusa',Oryza sativa L.,"Louisiana, United States",18,1.7,5.5,0,3.2,0,0
1015235,CIor 1642,Shinriki,Oryza sativa L.,Japan,21,2.3,5.6,0,2.5,0,0
1015236,CIor 1643,Honduras,Oryza sativa L.,Honduras,26,2,5,0,2.5,0,0
1015250,CIor 1645,Carolina Gold,Oryza sativa L.,United States,22,2.3,7,0,3,GREEN,0
1015360,CIor 1664,WC 3398,Oryza sativa L.,"Nayarit, Mexico",19,2.8,7,0.41,2.5,0,0
1016054,CIor 1779,'Rexoro',Oryza sativa L.,"Louisiana, United States",23,3.4,7,0,2.1,0,0
1017246,CIor 1962,'Blue Rose',Oryza sativa L.,"Louisiana, United States",16,2.4,6,0,2.5,0,0
1017448,CIor 1988,'Acadia',Oryza sativa L.,"Louisiana, United States",19,3,6,0,2,DARK GREEN,0
1018396,CIor 2127,'Edith',Oryza sativa L.,"Louisiana, United States",14,3.2,8,0,2.5,0,0
1018397,CIor 2128,'Improved Blue Rose',Oryza sativa L.,"Louisiana, United States",18,2.3,7,0,3,0,0
1018517,CIor 2147,Chung Chang,Oryza sativa L.,China,18,2.2,6.5,0,3,0,0
1018638,CIor 2168,CI 2168,Oryza sativa L.,Guatemala,22,2.5,7.5,0,3,0,0
1018646,CIor 2169,CI 2169,Oryza sativa L.,Guatemala,20,2.9,7.6,0,2.6,0,0
1018673,CIor 2174,CI 2174,Oryza sativa L.,Guatemala,22,3.2,8,0,2.5,0,0
1018719,CIor 2181,Nacaome,Oryza sativa L.,Honduras,16,4,7.5,0,1.9,0,0
1019476,CIor 2296,Dokai,Oryza sativa L.,"Saga, Japan",16,1.8,5.5,0,3,0,0
1019510,CIor 2303,Miyako,Oryza sativa L.,Japan,24,1.7,5,0,3,0,0
1019627,CIor 2323,Tama Nishiki,Oryza sativa L.,Japan,23,3,7.5,0,2.5,0,0
1019803,CIor 2343,E No. 57,Oryza sativa L.,Japan,24,3,7.5,0,2.5,0,0
1019833,CIor 2347,Kinko,Oryza sativa L.,Japan,28,2.2,5.5,0,2.5,0,0
1020688,CIor 2474,K Kawoeng,Oryza sativa L.,"Jawa, Indonesia",19,2.8,7,0,2.5,0,0
1020780,CIor 2490,Karang Serang,Oryza sativa L.,"Jawa, Indonesia",21,2.8,7,0.26,2.5,0,0
1021247,CIor 2584,Tondok,Oryza sativa L.,"Jawa, Indonesia",19,2.2,6.5,0.23,3,0,0
1021250,CIor 2585,Kalie,Oryza sativa L.,"Jawa, Indonesia",21,2.6,6.5,0,2.5,0,0
